numHosts	RNG	TxpacSlice1	RxpacSlice1	dropSlice1	TxpacSlice2	RxpacSlice2	dropSlice2
50-50		1	4637433		4636600		833		5258039		5257659		380
100-100		1	7059011		7047833		11178		6491582		6480149		11433
200-200		1	7318424		7289204		29220		7412037		7379385		32652
300-300		1	7255531		7202592		52939		7556374		7499197		57177
400-400		1	7297009		7222883		74126		7563208		7486947		76261
500-500		1	7599957		7508581		91376		7299457		7209079		90378
600-600		1	7405073		7302803		102270		7515943		7410383		105560
50-50		2	4842871		4842045		826		5051152		5050560		592
100-100		2	7132006		7121975		10031		6993623		6982920		10703
200-200		2	7123029		7089431		33598		7601931		7567625		34306
300-300		2	7423776		7369507		54269		7402827		7348155		54672
400-400		2	7597428		7523619		73809		7257882		7186442		71440
500-500		2	7475306		7383188		92118		7425287		7330292		94995
600-600		2	7390369		7284777		105592		7539946		7434682		105264
50-50		3	4789462		4789186		276		5018289		5018134		155
100-100		3	6614752		6604414		10338		7131823		7121464		10359
200-200		3	7406003		7374115		31888		7231305		7201652		29653
300-300		3	7400670		7345264		55406		7412553		7358614		53939
400-400		3	7382292		7309546		72746		7469535		7396594		72941
500-500		3	7363322		7270052		93270		7531604		7438945		92659
600-600		3	7762690		7646762		115928		7174679		7067751		106928
50-50		4	5015519		5014899		620		4996738		4996488		250
100-100		4	6778620		6769047		9573		6891342		6881818		9524
200-200		4	7231678		7199016		32662		7467992		7435318		32674
300-300		4	7481194		7425574		55620		7330214		7276377		53837
400-400		4	7621526		7550968		70558		7221490		7153325		68165
500-500		4	7252137		7160872		91265		7648470		7555776		92694
600-600		4	7702860		7591842		111018		7226610		7120309		106301
