numHosts	RNG	TxpacSlice1	RxpacSlice1	dropSlice1	TxpacSlice2	RxpacSlice2	dropSlice2
134-66		1	9690251		9674659		15592		4338966		4332980		5986
67-33		1	6490411		6489389		1022		3631016		3630413		603
134-66		1	9690251		9674659		15592		4338966		4332980		5986
267-133		1	9842112		9799019		43093		4802733		4781870		20863
400-200		1	9802449		9732614		69835		4970960		4934727		36233
534-266		1	9995203		9898019		97184		4860950		4814573		46377
667-333		1	9640035		9522152		117883		5252092		5189174		62918
800-400		1	10140611	9997973		142638		4786116		4716088		70028
67-33		2	6494870		6493806		1064		3345106		3344334		772
134-66		2	9291828		9276108		15720		3917846		3911645		6201
267-133		2	9858669		9812235		46434		4907931		4884494		23437
400-200		2	9783904		9710580		73324		5033388		4995225		38163
534-266		2	9912048		9812827		99221		4935513		4887956		47557
667-333		2	9998552		9878636		119916		4890665		4833242		57423
800-400		2	9774509		9632595		141914		5144513		5074088		70425
67-33		3	6606457		6606180		277		3363206		3363144		62
134-66		3	9165653		9153757		11896		4369559		4362553		7006
267-133		3	10068922	10025916	43006		4680415		4658955		21460
400-200		3	10104665	10027595	77070		4721323		4686020		35303
534-266		3	9915299		9817782		97517		4945268		4898343		46925
667-333		3	10120295	9996725		123570		4769712		4710810		58902
800-400		3	9895293		9749711		145582		5039040		4966293		72747
67-33		4	6934018		6932984		1034		3308246		3307772		474
134-66		4	8721654		8709475		12179		4804116		4797288		6828
267-133		4	9959536		9914897		44639		4727622		4706126		21496
400-200		4	9741908		9669284		72624		5066162		5029067		37095
534-266		4	9928226		9830656		97570		4932359		4882668		49691
667-333		4	9922783		9803621		119162		4961541		4904231		57310
800-400		4	9770431		9625244		145187		5161560		5086674		74886
