Execucao Regras Enviado Recebido
1 250 5.61264109612 11.043817997
1 500 14.222589016 25.3198471069
1 750 28.5857059956 49.6126050949
1 1000 52.9634439945 88.3348121643
1 1250 91.7754471302 145.35651207
1 1500 148.876425028 217.588728189
1 1750 221.24625206 333.358821154
1 2000 337.111973047 511.148188114
1 2250 515.058333158 822.158933163
2 250 6.75295209885 11.7855200768
2 500 14.9635210037 25.8603479862
2 750 29.1187140942 47.1313509941
2 1000 50.4788510799 79.5640060902
2 1250 83.0098011494 131.676274061
2 1500 135.212412119 209.104491949
2 1750 212.759158134 319.609339952
2 2000 323.382483006 487.290639162
2 2250 491.20345211 784.011064053
3 250 14.507942915 19.0243709087
3 500 22.1993758678 32.5956308842
3 750 35.8538999557 54.5170419216
3 1000 57.8608548641 91.3689188957
3 1250 94.8069779873 146.174263954
3 1500 149.700265884 226.790754795
3 1750 230.407480955 340.353629827
3 2000 344.071537971 514.602125883
3 2250 518.428447008 794.177040815
