Execucao Regras Enviado Recebido
1 250 8.77688694 13.0930140018
1 500 16.2666568756 26.5627949238
1 750 29.8241260052 51.2019188404
1 1000 54.5410840511 88.0996088982
1 1250 91.55159688 143.683447838
1 1500 147.206243038 217.132428885
1 1750 220.747172832 320.863926888
1 2000 324.574772835 504.986138821
1 2250 508.800642967 799.391924858
2 250 10.8788609505 16.2600979805
2 500 19.4332568645 32.0298058987
2 750 35.2856500149 52.8994688988
2 1000 56.2898459435 86.4996159077
2 1250 89.9522278309 138.825193882
2 1500 142.34805584 214.881696939
2 1750 218.494284868 337.371502876
2 2000 341.079049826 520.437201977
2 2250 524.291203022 792.355415821
3 250 4.0642209053 8.73094105721
3 500 11.9108400345 21.7431979179
3 750 25.003567934 44.7665090561
3 1000 48.120677948 76.7640450001
3 1250 80.2057700157 129.372467995
3 1500 132.889809847 208.098588943
3 1750 211.744628906 327.55685997
3 2000 331.310849905 499.725375891
3 2250 503.627322912 763.528905869
