Execucao Regras Enviado Recebido
1 250 7.91768693924 12.5826909542
1 500 28.2765719891 44.7383799553
1 750 71.8020980358 101.842762947
1 1000 141.482238054 189.282696009
1 1250 251.450474024 317.111024141
1 1500 412.518894911 513.535923004
1 1750 651.570162058 776.115314007
2 250 34.096116066 38.4106969833
2 500 53.0534210205 69.364221096
2 750 92.7935190201 122.384322166
2 1000 163.557247162 210.509250164
2 1250 275.514178991 346.240159035
2 1500 443.341884136 539.494297028
2 1750 667.608837128 790.24925518
3 250 22.3122820854 27.8423841
3 500 42.2485702038 56.8440320492
3 750 86.4424231052 114.232796192
3 1000 153.770559072 202.171673059
3 1250 265.24201107 334.868858099
3 1500 432.642217159 530.358730078
3 1750 654.893439054 776.686833143
