Execucao Regras Enviado Recebido Indice
1 250 3.11325287819 31.0559289455 1
1 500 32.23148489 141.528789997 1
1 750 142.794939041 347.579755068 1
1 1000 348.923429966 642.064746857 1
1 1250 643.513360977 1031.99036384 1
1 1500 1033.52325892 1526.71722484 1
1 1750 1528.34452486 2134.18540907 1
1 2000 2135.91308403 2945.92392707 1
1 2250 2947.76356506 4564.29794884 1
2 250 1.61854791641 30.4122989178 1
2 500 31.5860700607 143.698397875 1
2 750 144.957654953 339.260990858 1
2 1000 340.609942913 636.883806944 1
2 1250 638.340852022 1026.356668 1
2 1500 1027.89287686 1533.24921298 1
2 1750 1534.90416908 2165.32192898 1
2 2000 2167.09246707 3041.898314 1
2 2250 3043.80696893 4535.77472997 1
3 250 5.86048316956 34.0532510281 1
3 500 35.241394043 152.169111013 1
3 750 153.426255941 349.829787016 1
3 1000 351.18087697 636.00730896 1
3 1250 637.452646017 1024.28035402 1
3 1500 1025.81284595 1520.13845301 1
3 1750 1521.77041817 2166.76674104 1
3 2000 2168.49211502 3030.50217009 1
3 2250 3032.32671404 4725.79577899 1
