Execucao Regras Enviado Recebido
1 250 4.96256184578 53.3182690144
1 500 54.4929258823 252.82701993
1 750 254.086947918 625.620548964
1 1000 626.965559006 1204.3799479
1 1250 1205.81342292 1996.91069198
1 1500 1998.43232298 2994.686373
1 1750 2996.30592585 4315.23358607
1 2000 4316.95805693 5890.5632
2 250 2.61702895164 50.8695390224
2 500 52.0410919189 250.56110096
2 750 251.813041925 621.197669029
2 1000 622.533256054 1201.19956493
2 1250 1202.63818192 1974.74453187
2 1500 1976.26948094 2946.38212705
2 1750 2947.99940896 4245.77320695
2 2000 4247.49001598 6118.95017886
2 2250 6120.87765503 8733.97109985
3 250 1.48865604401 48.4934091568
3 500 49.6702311039 245.387879133
3 750 246.651679993 622.801300049
3 1000 624.241026163 1193.12983918
3 1250 1194.55976701 1968.66662312
3 1500 1970.19527721 3006.04244208
3 1750 3007.64939499 4240.99403811
3 2000 4242.69477415 5906.69651914
3 2250 5908.60627508 8704.7191081
