Execucao Regras Enviado Recebido Indice
1 250 5.61264109612 11.043817997 1
1 500 14.222589016 25.3198471069 1
1 750 28.5857059956 49.6126050949 1
1 1000 52.9634439945 88.3348121643 1
1 1250 91.7754471302 145.35651207 1
1 1500 148.876425028 217.588728189 1
1 1750 221.24625206 333.358821154 1
1 2000 337.111973047 511.148188114 1
1 2250 515.058333158 822.158933163 1
2 250 6.75295209885 11.7855200768 1
2 500 14.9635210037 25.8603479862 1
2 750 29.1187140942 47.1313509941 1
2 1000 50.4788510799 79.5640060902 1
2 1250 83.0098011494 131.676274061 1
2 1500 135.212412119 209.104491949 1
2 1750 212.759158134 319.609339952 1
2 2000 323.382483006 487.290639162 1
2 2250 491.20345211 784.011064053 1
3 250 14.507942915 19.0243709087 1
3 500 22.1993758678 32.5956308842 1
3 750 35.8538999557 54.5170419216 1
3 1000 57.8608548641 91.3689188957 1
3 1250 94.8069779873 146.174263954 1
3 1500 149.700265884 226.790754795 1
3 1750 230.407480955 340.353629827 1
3 2000 344.071537971 514.602125883 1
3 2250 518.428447008 794.177040815 1
1 250 4.96256184578 53.3182690144 2
1 500 54.4929258823 252.82701993 2
1 750 254.086947918 625.620548964 2
1 1000 626.965559006 1204.3799479 2
1 1250 1205.81342292 1996.91069198 2
1 1500 1998.43232298 2994.686373 2
1 1750 2996.30592585 4315.23358607 2
1 2000 4316.95805693 5890.5632 2
1 2250 6014.74196506 8719.34510397 2
2 250 2.61702895164 50.8695390224 2
2 500 52.0410919189 250.56110096 2
2 750 251.813041925 621.197669029 2
2 1000 622.533256054 1201.19956493 2
2 1250 1202.63818192 1974.74453187 2
2 1500 1976.26948094 2946.38212705 2
2 1750 2947.99940896 4245.77320695 2
2 2000 4247.49001598 6118.95017886 2
2 2250 6120.87765503 8733.97109985 2
3 250 1.48865604401 48.4934091568 2
3 500 49.6702311039 245.387879133 2
3 750 246.651679993 622.801300049 2
3 1000 624.241026163 1193.12983918 2
3 1250 1194.55976701 1968.66662312 2
3 1500 1970.19527721 3006.04244208 2
3 1750 3007.64939499 4240.99403811 2
3 2000 4242.69477415 5906.69651914 2
3 2250 5908.60627508 8704.7191081 2
1 250 3.11325287819 31.0559289455 3
1 500 32.23148489 141.528789997 3
1 750 142.794939041 347.579755068 3
1 1000 348.923429966 642.064746857 3
1 1250 643.513360977 1031.99036384 3
1 1500 1033.52325892 1526.71722484 3
1 1750 1528.34452486 2134.18540907 3
1 2000 2135.91308403 2945.92392707 3
1 2250 2947.76356506 4564.29794884 3
2 250 1.61854791641 30.4122989178 3
2 500 31.5860700607 143.698397875 3
2 750 144.957654953 339.260990858 3
2 1000 340.609942913 636.883806944 3
2 1250 638.340852022 1026.356668 3
2 1500 1027.89287686 1533.24921298 3
2 1750 1534.90416908 2165.32192898 3
2 2000 2167.09246707 3041.898314 3
2 2250 3043.80696893 4535.77472997 3
3 250 5.86048316956 34.0532510281 3
3 500 35.241394043 152.169111013 3
3 750 153.426255941 349.829787016 3
3 1000 351.18087697 636.00730896 3
3 1250 637.452646017 1024.28035402 3
3 1500 1025.81284595 1520.13845301 3
3 1750 1521.77041817 2166.76674104 3
3 2000 2168.49211502 3030.50217009 3
3 2250 3032.32671404 4725.79577899 3
