Execucao Regras Enviado Recebido
1 250 10.8651938438 15.6803648472
1 500 27.8683588505 39.7148268223
1 750 60.3274598122 78.6384849548
1 1000 112.743221998 146.749888897
1 1250 197.555294991 244.723120928
1 1500 321.939986944 387.600513935
1 1750 481.425450802 577.577087879
1 2000 762.889968872 941.733431816
1 2250 1210.4489758 1560.60634398
2 250 8.39236712456 14.4727480412
2 500 27.6245260239 36.3557939529
2 750 59.8989229202 76.4101569653
2 1000 111.703557014 143.460432053
2 1250 190.306478977 236.407875061
2 1500 307.986954927 375.497360945
2 1750 494.02305603 597.440721035
2 2000 781.816708088 969.488985062
2 2250 1279.14029408 1818.43728399
3 250 10.4801049232 15.1451129913
3 500 26.491328001 39.1863360405
3 750 62.0790040493 79.238822937
3 1000 113.601297855 145.10790801
3 1250 197.299300909 243.100026846
3 1500 317.491886854 383.152210951
3 1750 480.372740984 593.118618011
3 2000 761.178948879 929.441802025
3 2250 1226.29684401 1684.14729285
